node_i,node_j,weight
EVCS10,23,2.8
EVCS10,21,14.4
23,7,3.95
23,8,3.79
7,8,2.54
8,21,5.81
7,6,5.47
6,9,6.24
9,7,5.1
6,EVCS8,5.21
EVCS8,1,0.563
1,10,8.31
9,10,2.64
8,14,10
10,14,2.98
21,26,13.2
21,22,9.53
22,20,10.2
20,26,3.81
26,25,1.22
26,5,6.62
25,14,1.36
25,EVCS1,0.542
EVCS1,13,2.74
14,13,2.79
13,11,2.31
11,10,4.26
3,11,8.95
3,EVCS3,0.764
EVCS3,2,0.572
2,1,2.56
3,4,10.7
4,EVCS4,7.48
4,12,1.61
12,11,4.33
12,13,5.73
EVCS4,5,3.24
5,15,6.26
5,19,2.23
20,19,2.67
15,16,0.894
16,18,3.77
16,17,4.26
17,EVCS2,0.764
EVCS2,18,0.857
18,EVCS7,1.11
EVCS7,19,0.756
17,EVCS9,1.22
EVCS9,20,2.42